0 1 2 8 + 5
0 1 2 8 + 6
0 1 2 8 + 7
0 1 2 8 + 9
0 1 2 8 + 10
0 1 2 8 + 11
0 1 2 8 + 12
0 1 2 8 + 13
0 1 2 8 + 14
0 1 2 8 + 15
0 1 4 8 + 2
0 1 4 8 + 3
0 1 4 8 + 5
0 1 4 8 + 6
0 1 4 8 + 7
0 1 4 8 + 9
0 1 4 8 + 10
0 1 4 8 + 11
0 1 4 8 + 12
0 1 4 8 + 13
0 1 4 8 + 14
0 1 4 8 + 15
0 2 4 8 + 1
0 2 4 8 + 3
0 2 4 8 + 5
0 2 4 8 + 6
0 2 4 8 + 7
0 2 4 8 + 9
0 2 4 8 + 10
0 2 4 8 + 11
0 2 4 8 + 12
0 2 4 8 + 13
0 2 4 8 + 14
0 2 4 8 + 15
0 3 4 8 + 1
0 3 4 8 + 2
0 3 4 8 + 5
0 3 4 8 + 6
0 3 4 8 + 7
0 3 4 8 + 9
0 3 4 8 + 10
0 3 4 8 + 11
0 3 4 8 + 12
0 3 4 8 + 13
0 3 4 8 + 14
0 3 4 8 + 15
0 4 5 8 + 1
0 4 5 8 + 2
0 4 5 8 + 3
0 4 5 8 + 6
0 4 5 8 + 7
0 4 5 8 + 9
0 4 5 8 + 10
0 4 5 8 + 11
0 4 5 8 + 12
0 4 5 8 + 13
0 4 5 8 + 14
0 4 5 8 + 15
4 5 6 8 + 0
4 5 6 8 + 1
4 5 6 8 + 2
4 5 6 8 + 3
4 5 6 8 + 7
4 5 6 8 + 9
4 5 6 8 + 10
4 5 6 8 + 11
4 5 6 8 + 12
4 5 6 8 + 13
4 5 6 8 + 14
4 5 6 8 + 15
0 1 5 9 + 2
0 1 5 9 + 3
0 1 5 9 + 4
0 1 5 9 + 6
0 1 5 9 + 7
0 1 5 9 + 8
0 1 5 9 + 10
0 1 5 9 + 11
0 1 5 9 + 12
0 1 5 9 + 13
0 1 5 9 + 14
0 1 5 9 + 15
1 2 5 9 + 0
1 2 5 9 + 3
1 2 5 9 + 4
1 2 5 9 + 6
1 2 5 9 + 7
1 2 5 9 + 8
1 2 5 9 + 10
1 2 5 9 + 11
1 2 5 9 + 12
1 2 5 9 + 13
1 2 5 9 + 14
1 2 5 9 + 15
1 3 5 9 + 0
1 3 5 9 + 2
1 3 5 9 + 4
1 3 5 9 + 6
1 3 5 9 + 7
1 3 5 9 + 8
1 3 5 9 + 10
1 3 5 9 + 11
1 3 5 9 + 12
1 3 5 9 + 13
1 3 5 9 + 14
1 3 5 9 + 15
0 1 8 9 + 2
0 1 8 9 + 3
0 1 8 9 + 4
0 1 8 9 + 5
0 1 8 9 + 6
0 1 8 9 + 7
0 1 8 9 + 10
0 1 8 9 + 11
0 1 8 9 + 12
0 1 8 9 + 13
0 1 8 9 + 14
0 1 8 9 + 15
0 4 8 9 + 1
0 4 8 9 + 2
0 4 8 9 + 3
0 4 8 9 + 5
0 4 8 9 + 6
0 4 8 9 + 7
0 4 8 9 + 10
0 4 8 9 + 11
0 4 8 9 + 12
0 4 8 9 + 13
0 4 8 9 + 14
0 4 8 9 + 15
4 5 8 9 + 0
4 5 8 9 + 1
4 5 8 9 + 2
4 5 8 9 + 3
4 5 8 9 + 6
4 5 8 9 + 7
4 5 8 9 + 10
4 5 8 9 + 11
4 5 8 9 + 12
4 5 8 9 + 13
4 5 8 9 + 14
4 5 8 9 + 15
0 2 6 10 + 1
0 2 6 10 + 3
0 2 6 10 + 4
0 2 6 10 + 5
0 2 6 10 + 7
0 2 6 10 + 8
0 2 6 10 + 9
0 2 6 10 + 11
0 2 6 10 + 12
0 2 6 10 + 13
0 2 6 10 + 14
0 2 6 10 + 15
1 2 6 10 + 0
1 2 6 10 + 3
1 2 6 10 + 4
1 2 6 10 + 5
1 2 6 10 + 7
1 2 6 10 + 8
1 2 6 10 + 9
1 2 6 10 + 11
1 2 6 10 + 12
1 2 6 10 + 13
1 2 6 10 + 14
1 2 6 10 + 15
2 3 6 10 + 0
2 3 6 10 + 1
2 3 6 10 + 4
2 3 6 10 + 5
2 3 6 10 + 7
2 3 6 10 + 8
2 3 6 10 + 9
2 3 6 10 + 11
2 3 6 10 + 12
2 3 6 10 + 13
2 3 6 10 + 14
2 3 6 10 + 15
0 8 9 10 + 1
0 8 9 10 + 2
